formatted_name,name,packing_quantity,loose_quantity,fc_id,uuid,distributor_name,order_id,distributor_id,drug_variation_id,medlife_product_id,order_date,mrp,product_code
Oxetol 300 mg (strip of 10 tablets),Oxetol,10,60,1,d906cc47aa7b4e58967fa71b8c234ac4,MEHUL AGENCIES,162182,856885,1594,OXETOTN04A,2021-01-12 11:28:18+00,10.3000,138457
Acitrom 4 mg (strip of 30 tablets),Acitrom,30,30,1,52072504e6ec4b58afe96bd570dce8c6,MEHUL AGENCIES,162182,856885,2481,ACITRTN13A,2021-01-12 11:28:18+00,17.1307,111013
Domstal 10 mg (strip of 10 tablets),Domstal,10,20,1,6817f28910dc4add94a899274ced2db0,MEHUL AGENCIES,162182,856885,4400,DOMSTTN01A,2021-01-12 11:28:18+00,2.6350,119260
Arpizol 5 mg (strip of 10 tablets),Arpizol,10.0,30,1,b40859fc8dab435caea6d034c7fd42c3,MEHUL AGENCIES,162182,856885,4504,ARPIZTN05A,2021-01-12 11:28:18+00,7.1000,138377
Arpizol 10 mg (strip of 10 tablets),Arpizol,10.0,60,1,98f39c01cbd54963a69ee5718eb1e750,MEHUL AGENCIES,162182,856885,4669,ARPIZTN01A,2021-01-12 11:28:18+00,12.9000,138373
Domstal 30 ml syrup,Domstal,30 ml,1,1,7bdadb53b85a44b5b859d67a883357d8,MEHUL AGENCIES,162182,856885,4833,DOMSTSN01A,2021-01-12 11:28:18+00,35.9000,119255
Hifenac 100 mg (strip of 10 tablets),Hifenac ,10,10,1,dd27a75647da4f419383648a2186dfd8,MEHUL AGENCIES,162182,856885,5476,HIFENTN14A,2021-01-12 11:28:18+00,4.7500,122002
Sizodon Md 0.5 mg (strip of 10 tablets),Sizodon Md,10,40,1,b332f46b180c4810aa9e6bca2f99c902,MEHUL AGENCIES,162182,856885,6730,SIZODTN11A,2021-01-12 11:28:18+00,2.7000,138554
Veltam 0.4 mg (strip of 15 tablets),Veltam,15,45,1,3958a8961c484afca83e6c1c485c2e6c,MEHUL AGENCIES,162182,856885,8987,VELTATN02A,2021-01-12 11:28:18+00,10.4000,122800
Rozavel 20 mg (strip of 10 tablets),Rozavel,10,10,1,76ea38667cc44c71b66f8fb6f5a09f51,MEHUL AGENCIES,162182,856885,9022,ROZAVTN03A,2021-01-12 11:28:18+00,30.3000,123285
Rosuvas 40 mg (strip of 10 tablets),Rosuvas,10,80,1,502eb90b96264ab693a8819ca76b3830,MEHUL AGENCIES,162182,856885,9148,ROSUVTN04A,2021-01-12 11:28:18+00,52.0000,120439
Tydol 50 mg (strip of 10 tablets),Tydol,10.0,20,1,8bb221a61c2e4585b1f11909b6572971,MEHUL AGENCIES,162182,856885,9291,TYDOLTN02A,2021-01-12 11:28:18+00,16.1000,107441
Adaferin 0.1% 15 gm (box of 1 gel),Adaferin 0.1%,1,1,1,022e113680034e5d9b8e0226d5da3b00,MEHUL AGENCIES,162182,856885,9554,ADAFEGN01A,2021-01-12 11:28:18+00,259.0000,136119
Genxvast 10 mg (strip of 10 tablets),Genxvast,10,10,1,8ed825759ac2408e9ed3c7a11487225f,MEHUL AGENCIES,162182,856885,9971,GENXVTN01A,2021-01-12 11:28:18+00,1.5850,109130
Lipikind 20 mg (strip of 10 tablets),Lipikind,10.0,40,1,9eb166da1e0d49e9b5b434e673eb7b7c,MEHUL AGENCIES,162182,856885,10413,LIPIKTN02A,2021-01-12 11:28:18+00,5.2290,116143
Tazloc 80 mg (strip of 10 tablets),Tazloc,10,10,1,8ce6aa0c59ae4eadae5dc55ffdc8f3ed,MEHUL AGENCIES,162182,856885,10764,TAZLOTN03A,2021-01-12 11:28:18+00,11.2220,104972
Symbal 20 mg (strip of 10 tablets),Symbal,10.0,60,1,68ece788430c4e90b3a630ce437abe19,MEHUL AGENCIES,162182,856885,11141,SYMBATN02A,2021-01-12 11:28:18+00,10.7750,119078
Myoril 8 mg (strip of 10 capsules),Myoril,10,10,1,0213f6936ef2497daee5c3b7ea0bfef3,MEHUL AGENCIES,162182,856885,13612,MYORICN02A,2021-01-12 11:28:18+00,36.7950,108385
Azoran 50 mg (strip of 10 tablets),Azoran,10,60,1,bc8a892a591245d7a62fc7dface1c9a4,MEHUL AGENCIES,162182,856885,14453,AZORATN02A,2021-01-12 11:28:18+00,10.6100,AZORAN 50MG TAB
Listril 10 mg (strip of 15 tablets),Listril,15.0,45,1,715b9019f037411a88f38701e486ceeb,MEHUL AGENCIES,162182,856885,14900,LISTRTN02A,2021-01-12 11:28:18+00,18.4767,119540
Glycinorm OD 60 mg (strip of 10 tablets),Glycinorm OD,10.0,50,1,4391652c821749d794aa9968b8c5289a,MEHUL AGENCIES,162182,856885,14912,GLYCITN34A,2021-01-12 11:28:18+00,12.6350,133204
Diamicron 80 mg (strip of 10 tablets),Diamicron,10,10,1,10868db3f83f4b9996708c844d05ace2,MEHUL AGENCIES,162182,856885,15032,DIAMITN04A,2021-01-12 11:28:18+00,7.0000,137123
Asthalin 2 mg (strip of 30 tablets),Asthalin,30,30,1,a8f3e29b79b04ed49484bc0199182b79,MEHUL AGENCIES,162182,856885,15209,ASTHATN17A,2021-01-12 11:28:18+00,0.1790,131620
Zoryl 1 mg (strip of 15 tablets),Zoryl,15,60,1,575ad9a7701440638d3c64b7d1ce772a,MEHUL AGENCIES,162182,856885,16510,ZORYLTN02A,2021-01-12 11:28:18+00,4.0093,122046
Glimy 3 mg (strip of 10 tablets),Glimy,10,10,1,a539661dce514960840fbd4d5ad85791,MEHUL AGENCIES,162182,856885,17774,GLIMYTN05A,2021-01-12 11:28:18+00,14.1000,113078
Tide 10 mg (strip of 10 tablets),Tide,10,20,1,a77df638baf44a949b083d812ccbe60f,MEHUL AGENCIES,162182,856885,17907,TIDEZTN01A,2021-01-12 11:28:18+00,5.3750,119055
Losanorm 25 mg (strip of 10 tablets),Losanorm,10.0,20,1,59acca400b70469f9570c1e9c1e8bf47,MEHUL AGENCIES,162182,856885,18365,LOSANTN03A,2021-01-12 11:28:18+00,2.9930,133272
Glynase XL 10 mg (strip of 10 tablets),Glynase XL,10,10,1,ad06e47fee6a4ebdb23522e07c263c96,MEHUL AGENCIES,162182,856885,18507,GLYNATN01A,2021-01-12 11:28:18+00,1.6630,GLYNASE XL 10 TABS
Repace 50 mg (strip of 10 tablets),Repace,10,250,1,e8c7066580c140c7b68512c09432ac5b,MEHUL AGENCIES,162182,856885,19966,REPACTN03A,2021-01-12 11:28:18+00,6.5500,143234
Clexane 40 mg / 0.4 ml powdered for injection,Clexane ,1,6,1,f4d1c33a227b4917bff8cf4bb41a9f22,MEHUL AGENCIES,162182,856885,21048,CLEXAIN02A,2021-01-12 11:28:18+00,425.6700,108210
Penegra 50 mg (strip of 4 tablets),Penegra,4,12,1,7c9b4f5a6ee2474687f835a3d59eae7b,MEHUL AGENCIES,162182,856885,21992,PENEGTN04A,2021-01-12 11:28:18+00,36.1000,106164
Mucolite 100 ml syrup,Mucolite,1,3,1,ae2f8aa4f66c401a93aebb62fc7a1eab,MEHUL AGENCIES,162182,856885,23033,MUCOLSN01A,2021-01-12 11:28:18+00,94.0000,113435
Flavedon MR 35 mg (strip of 10 tablets),Flavedon MR,10.0,200,1,cd839c9fa03347238bc654252ac9dbee,MEHUL AGENCIES,162182,856885,23635,FLAVETN02A,2021-01-12 11:28:18+00,11.9000,tempcode_09-12-2020_01
Valzaar 40 mg (strip of 10 tablets),Valzaar ,10,20,1,933a8642d1924d40a320c1afc08b5364,MEHUL AGENCIES,162182,856885,25176,VALZATN03A,2021-01-12 11:28:18+00,9.4650,119980
Glycomet 500 mg (strip of 10 tablets),Glycomet,10,420,1,3e63fb9bf778440d8cc982f16e0fdbca,MEHUL AGENCIES,162182,856885,25259,GLYCOTN08A,2021-01-12 11:28:18+00,1.6800,GLYCOMET 500 TABS
Valzaar 80 mg (strip of 10 tablets),Valzaar ,10,60,1,b0a1cf7b7baf434bb7cb1b039ebf260c,MEHUL AGENCIES,162182,856885,25276,VALZATN04A,2021-01-12 11:28:18+00,16.5350,VALZAAR 80MG TAB
Nexito 10 mg (strip of 10 tablets),Nexito,10.0,150,1,c4a511720d1247c5855deee3a0551429,MEHUL AGENCIES,162182,856885,25407,NEXITTN01A,2021-01-12 11:28:18+00,9.0490,138421
Prolomet XL 12.5 mg (strip of 10 tablets),Prolomet XL,10,200,1,f0b9c6ceb9404d059408b18e4f3fd56f,MEHUL AGENCIES,162182,856885,28861,PROLOTN14A,2021-01-12 11:28:18+00,3.7500,138139
