,drug_variation_id,medlife_product_id,fc_id,distributor_id,distributor_name,bill_number,bill_date,transcription_completed_ts,packing_quantity,mrp,formatted_name,drug_name,purchase_margin_percent,purchase_price,loose_quantity,purchase_mrp_value,lookup_index,loose_quantity_ordered,analysis
0,186069,CILACTS10A,1,856885,MEHUL AGENCIES, D31152,2021-01-15,2021-01-15,15,9.8893,Cilacar 10 mg (strip of 15 tablets),Cilacar,23.998,7.064,6030,59632.479,1_186069_MEHUL AGENCIES,0.0,Not ordered
1,185685,CILACTS10A,1,856885,MEHUL AGENCIES, D30745,2021-01-12,2021-01-12,15,9.8893,Cilacar 10mg (strip of 15 tablets),Cilacar,23.998,7.064,6030,59632.479,1_185685_MEHUL AGENCIES,0.0,Not ordered
2,185841,,1,125101,M Ratan Agencies, S 6666,2021-01-13,2021-01-13,100,12.5,Medi Care Latex Gloves Large (pack of 100),Medi Care Latex Gloves Large,46.24,6.0,1800,22500.0,1_185841_M Ratan Agencies,0.0,Not ordered
3,62900,NOVOMIP01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215324,2021-01-12,2021-01-12,1,704.0,Novomix 30 3ml (1 pen fill),Novomix 30,19.36,563.2,25,17600.0,1_62900_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
4,186069,CILACTS10A,6,856885,MEHUL AGENCIES, D31151,2021-01-15,2021-01-15,15,9.8893,Cilacar 10 mg (strip of 15 tablets),Cilacar,23.998,7.064,1770,17504.061,6_186069_MEHUL AGENCIES,0.0,Not ordered
5,185685,CILACTS10A,6,856885,MEHUL AGENCIES, D30734,2021-01-12,2021-01-12,15,9.8893,Cilacar 10mg (strip of 15 tablets),Cilacar,23.998,7.064,1770,17504.061,6_185685_MEHUL AGENCIES,0.0,Not ordered
6,91250,SULISTS01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,10,54.9,Sulisent 100 mg (strip of 10 tablets),Sulisent,17.68,41.175,310,17019.0,1_91250_MAHAVEER MEDI-SALES PVT. LTD.,310.0,Equal
7,186069,CILACTS10A,7,856885,MEHUL AGENCIES, D31176,2021-01-15,2021-01-15,15,9.8893,Cilacar 10 mg (strip of 15 tablets),Cilacar,23.998,7.064,1680,16614.024,7_186069_MEHUL AGENCIES,0.0,Not ordered
8,185685,CILACTS10A,7,856885,MEHUL AGENCIES, D30735,2021-01-12,2021-01-12,15,9.8893,Cilacar 10mg (strip of 15 tablets),Cilacar,23.998,7.064,1680,16614.024,7_185685_MEHUL AGENCIES,0.0,Not ordered
9,45005,VICTOIN02A,6,856885,MEHUL AGENCIES, D31160,2021-01-15,2021-01-15,1,5324.0,Victoza 6 mg powdered for injection,Victoza,23.9983,3802.94,3,15972.0,6_45005_MEHUL AGENCIES,2.0,Excess
10,164540,JALRATN03A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215391,2021-01-12,2021-01-12,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,644,13800.0184,6_164540_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
11,69741,MIXTACN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181263,2021-01-12,2021-01-13,1,319.0,Human Mixtard HM 30 70 - 3ml (1 cartridge),Human Mixtard HM,17.68,255.2,40,12760.0,1_69741_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
12,177106,TELMATS41A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181407,2021-01-12,2021-01-12,30,14.3,Telma Am 40 MG (strip of 30 tablets),Telma Am,23.9996,10.21433,870,12441.0,7_177106_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
13,75270,TRIVOTS02A,1,856885,MEHUL AGENCIES, D31163,2021-01-15,2021-01-15,10.0,19.9,Trivolib 2 mg (strip of 10 tablets),Trivolib,24.0015,14.214,600,11940.0,1_75270_MEHUL AGENCIES,1530.0,Shortage
14,65887,ISTAMTN03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,25.3,Istamet 50/500mg (strip of 15 tablets),Istamet,24.0004,18.07133,450,11385.0,1_65887_MAHAVEER MEDI-SALES PVT. LTD.,450.0,Equal
15,47348,GLYCOTN15A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,15,10.3667,Glycomet GP 2 mg (strip of 15 tablets),Glycomet GP,24.001,7.40467,1020,10574.034,1_47348_MAHAVEER MEDI-SALES PVT. LTD.,1005.0,Excess
16,187047,AMARYTS22A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181297,2021-01-12,2021-01-13,20,16.516,Amaryl M 2 MG / 500 MG (strip of 20 tablets),Amaryl M,24.0009,11.797,640,10570.24,1_187047_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
17,187047,AMARYTS22A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181405,2021-01-12,2021-01-13,20,16.516,Amaryl M 2 MG / 500 MG (strip of 20 tablets),Amaryl M,24.0009,11.797,640,10570.24,1_187047_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
18,187047,AMARYTS22A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181263,2021-01-12,2021-01-13,20,16.516,Amaryl M 2 MG / 500 MG (strip of 20 tablets),Amaryl M,24.0009,11.797,640,10570.24,1_187047_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
19,177508,RYZODIP01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181262,2021-01-12,2021-01-12,5,1024.0,Ryzodeg 100 IU/ 3 ML injection (pack of 5),Ryzodeg,17.68,819.2,10,10240.0,6_177508_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
20,164540,JALRATN03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217466,2021-01-15,2021-01-15,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,448,9600.0128,1_164540_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
21,116907,VYMADTS01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,14,78.6071,Vymada 50 mg (strip of 14 tablets),Vymada,24.0001,56.14786,112,8803.9952,1_116907_MAHAVEER MEDI-SALES PVT. LTD.,14.0,Excess
22,162332,XARELTS13A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194814,2021-01-15,2021-01-15,28,145.0,Xarelto 15 mg (strip of 28 tablets),Xarelto,24.0,103.57143,56,8120.0,1_162332_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
23,91921,JARDITS01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193553,2021-01-15,2021-01-15,10,62.2,Jardiance 25 mg (strip of 10 tablets),Jardiance,17.68,46.65,130,8086.0,6_91921_MAHAVEER MEDI-SALES PVT. LTD.,10.0,Excess
24,13021,DUPHATN01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193553,2021-01-15,2021-01-15,10.0,67.251,Duphaston 10 mg (strip of 10 tablets),Duphaston,24.0007,48.036,120,8070.12,6_13021_MAHAVEER MEDI-SALES PVT. LTD.,120.0,Equal
25,175221,TENEPTS20A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181405,2021-01-12,2021-01-13,30,10.5,Tenepride 20 MG (strip of 30 tablets),Tenepride,24.0,7.5,750,7875.0,1_175221_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
26,175221,TENEPTS20A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181297,2021-01-12,2021-01-13,30,10.5,Tenepride 20 MG (strip of 30 tablets),Tenepride,24.0,7.5,750,7875.0,1_175221_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
27,175221,TENEPTS20A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181263,2021-01-12,2021-01-13,30,10.5,Tenepride 20 MG (strip of 30 tablets),Tenepride,24.0,7.5,750,7875.0,1_175221_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
28,45032,GLYCOTS04A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,10,18.65,Glycomet Trio 2 mg (strip of 10 tablets),Glycomet Trio,23.9967,13.322,410,7646.5,1_45032_MAHAVEER MEDI-SALES PVT. LTD.,410.0,Equal
29,22122,CRESPPN02A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193555,2021-01-15,2021-01-15,1,2499.0,Cresp Pfs 40 mcg powdered for injection,Cresp Pfs,37.7098,1463.0,3,7497.0,6_22122_MAHAVEER MEDI-SALES PVT. LTD.,3.0,Equal
30,65321,LANTUCN01A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217264,2021-01-15,2021-01-15,1,722.54,Lantus 100 iu (1 cartridge),Lantus,19.36,578.032,10,7225.4,7_65321_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
31,65321,LANTUCN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217265,2021-01-15,2021-01-15,1,722.54,Lantus 100 iu (1 cartridge),Lantus,19.36,578.032,10,7225.4,1_65321_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
32,82748,GLYCOTN13A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,7.0667,Glycomet GP 1 mg (strip of 15 tablets),Glycomet GP,24.0043,5.04733,1020,7208.034,1_82748_MAHAVEER MEDI-SALES PVT. LTD.,1005.0,Excess
33,148306,ATORVTS11A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215393,2021-01-12,2021-01-12,15,6.126,Atorva 10 mg (strip of 15 tablets),Atorva,23.195,4.376,1170,7167.42,1_148306_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
34,96703,TELMATN17A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,30,14.7333,Telma H 40 mg (strip of 30 tablets),Telma H,24.001,10.52367,480,7071.984,1_96703_MAHAVEER MEDI-SALES PVT. LTD.,480.0,Equal
35,147206,NOVOMCN01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193561,2021-01-15,2021-01-15,5,704.0,Novomix 30 3ml (box of 5 pen fills),Novomix 30,17.68,563.2,10,7040.0,6_147206_MAHAVEER MEDI-SALES PVT. LTD.,10.0,Equal
