drug_variation_id,medlife_product_id,fc_id,distributor_id,distributor_name,bill_number,bill_date,transcription_completed_ts,packing_quantity,mrp,formatted_name,drug_name,purchase_margin_percent,purchase_price,loose_quantity,purchase_mrp_value
186069,CILACTS10A,1,856885,MEHUL AGENCIES, D31152,2021-01-15,2021-01-15,15,9.8893,Cilacar 10 mg (strip of 15 tablets),Cilacar,23.9980,7.06400,6030,59632.4790
185685,CILACTS10A,1,856885,MEHUL AGENCIES, D30745,2021-01-12,2021-01-12,15,9.8893,Cilacar 10mg (strip of 15 tablets),Cilacar,23.9980,7.06400,6030,59632.4790
185841,,1,125101,M Ratan Agencies, S 6666,2021-01-13,2021-01-13,100,12.5000,Medi Care Latex Gloves Large (pack of 100),Medi Care Latex Gloves Large,46.2400,6.00000,1800,22500.0000
62900,NOVOMIP01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215324,2021-01-12,2021-01-12,1,704.0000,Novomix 30 3ml (1 pen fill),Novomix 30,19.3600,563.20000,25,17600.0000
186069,CILACTS10A,6,856885,MEHUL AGENCIES, D31151,2021-01-15,2021-01-15,15,9.8893,Cilacar 10 mg (strip of 15 tablets),Cilacar,23.9980,7.06400,1770,17504.0610
185685,CILACTS10A,6,856885,MEHUL AGENCIES, D30734,2021-01-12,2021-01-12,15,9.8893,Cilacar 10mg (strip of 15 tablets),Cilacar,23.9980,7.06400,1770,17504.0610
91250,SULISTS01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,10,54.9000,Sulisent 100 mg (strip of 10 tablets),Sulisent,17.6800,41.17500,310,17019.0000
186069,CILACTS10A,7,856885,MEHUL AGENCIES, D31176,2021-01-15,2021-01-15,15,9.8893,Cilacar 10 mg (strip of 15 tablets),Cilacar,23.9980,7.06400,1680,16614.0240
185685,CILACTS10A,7,856885,MEHUL AGENCIES, D30735,2021-01-12,2021-01-12,15,9.8893,Cilacar 10mg (strip of 15 tablets),Cilacar,23.9980,7.06400,1680,16614.0240
45005,VICTOIN02A,6,856885,MEHUL AGENCIES, D31160,2021-01-15,2021-01-15,1,5324.0000,Victoza 6 mg powdered for injection,Victoza,23.9983,3802.94000,3,15972.0000
164540,JALRATN03A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215391,2021-01-12,2021-01-12,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,644,13800.0184
69741,MIXTACN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181263,2021-01-12,2021-01-13,1,319.0000,Human Mixtard HM 30 70 - 3ml (1 cartridge),Human Mixtard HM,17.6800,255.20000,40,12760.0000
